Company,Title,Link,Location
Figma,Software Engineer Intern (2022),https://jobs.lever.co/figma/76c46a06-91fd-4792-8907-9fe42aff1f26,San Francisco or New York
Figma,University Recruiting Program Manager Intern (2022),https://jobs.lever.co/figma/d7b29bac-2256-482f-b38e-ce01eafc1946,San Francisco or New York
Plaid,Internal Communications and Employer Brand Lead,https://jobs.lever.co/plaid/b2589b62-74c3-40d7-a05d-377eba8c9474,New York / San Francisco
Plaid,Software Engineering Manager- Product (International),https://jobs.lever.co/plaid/4ca6416d-e7a3-4d7c-8d2f-0c8fb6b9ca44,San Francisco
Plaid,Software Engineer - Intern - SF,https://jobs.lever.co/plaid/35a8ac95-2dce-45eb-935b-9cf44f0e3117,San Francisco
Udemy,"Strategist, Udemy Business-International Collection",https://jobs.lever.co/udemy/ad1dcd1b-2fed-4be5-959a-c0e6b1a72857,"San Francisco, California"
Udemy,"Senior Manager, Global Benefits (International)",https://jobs.lever.co/udemy/e0cbbd5f-1756-4d04-8e66-fe8811f912d4,"San Francisco, California"
